SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
511571,SOMDATT FIN ,XT,Q,4.60,4.60,4.60,4.60,4.60,4.41,2,500,2300.00,,INE754C01010,02-Aug-17,,
511585,REGENCY TRUS,XD,Q,3.10,3.10,3.10,3.10,3.10,3.10,1,50,155.00,,INE425F01010,02-Aug-17,,
511589,AVONMORE    ,XD,Q,16.05,17.25,16.05,16.95,17.25,16.70,21,7095,117524.00,,INE323B01016,02-Aug-17,,
511593,LIBORD FIN  ,XT,Q,9.55,9.55,9.55,9.55,9.55,9.50,1,180,1719.00,,INE212B01011,02-Aug-17,,
511601,YASH MANAGE.,XD,Q,8.40,8.40,7.60,8.00,8.00,8.00,14,3500,28200.00,,INE216B01012,02-Aug-17,,
511605,ARIHANT CAP.,XC,Q,82.40,83.40,81.00,81.55,81.55,82.40,48,3750,305150.00,,INE420B01028,02-Aug-17,,
511611,DCM FINANCIA,B ,Q,2.95,2.95,2.95,2.95,2.95,3.00,1,500,1475.00,,INE891B01012,02-Aug-17,,
511626,R R FINANCE.,XD,Q,10.35,10.35,10.10,10.10,10.10,10.60,3,900,9252.00,,INE229D01011,02-Aug-17,,
511628,IMCAP       ,XD,Q,65.90,67.00,62.65,62.80,62.65,65.90,7,1146,75078.00,,INE417D01012,02-Aug-17,,
511630,SAMBHAAV MED,B ,Q,12.60,13.70,12.01,12.21,12.21,12.46,604,359036,4636696.00,,INE699B01027,02-Aug-17,,
511658,NETTLINX LTD,XC,Q,99.00,106.85,97.00,104.90,104.90,98.50,82,7068,715287.00,,INE027D01019,02-Aug-17,,
511664,BGIL FL TEC ,XT,Q,2.18,2.18,2.18,2.18,2.18,2.08,3,3100,6758.00,,INE443D01018,02-Aug-17,,
511676,GIC HOUSING ,B ,Q,511.00,523.00,510.55,517.90,517.90,510.85,870,27525,14243641.00,,INE289B01019,02-Aug-17,,
511682,IFL PRMOTER ,XT,Q,0.72,0.72,0.72,0.72,0.72,0.69,2,75,54.00,,INE326D01031,02-Aug-17,,
511688,MATHEW EASOW,XD,Q,21.50,22.45,21.50,21.95,22.45,22.60,14,751,16194.00,,INE963B01019,02-Aug-17,,
511692,AJCON GLOBAL,XT,Q,21.00,21.70,21.00,21.70,21.70,22.00,2,200,4270.00,,INE759C01019,02-Aug-17,,
511696,CHARTERED CA,XD,Q,63.50,63.50,63.50,63.50,63.50,60.50,1,5,317.00,,INE953B01010,02-Aug-17,,
511702,PARSHARTI IN,XD,Q,8.00,8.00,7.51,7.51,7.51,7.90,4,1800,13567.00,,INE290E01011,02-Aug-17,,
511714,NIMBSPROJ   ,SS,Q,70.05,70.05,70.05,70.05,70.05,66.75,1,10,700.00,,INE875B01015,02-Aug-17,,
511724,BAID LEASING,XD,Q,96.50,99.40,95.10,99.30,99.00,96.10,65,4176,405997.00,,INE020D01014,02-Aug-17,,
511726,VIPUL LTD   ,B ,Q,84.00,85.00,83.75,84.55,84.55,83.70,157,113161,9523788.00,,INE946H01037,02-Aug-17,,
511730,TRC FINAN.SE,XT,Q,6.71,6.71,6.71,6.71,6.71,6.71,2,1100,7381.00,,INE759D01017,02-Aug-17,,
511736,USHDEV INTNL,XC,Q,3.87,3.87,3.87,3.87,3.87,3.87,18,18100,70047.00,,INE981D01025,02-Aug-17,,
511742,CHOKHANI SEC,XD,Q,27.60,27.60,27.60,27.60,27.60,28.95,1,100,2760.00,,INE583D01011,02-Aug-17,,
511754,SHALIB.FINAN,XD,Q,111.55,121.95,108.10,110.10,109.65,117.85,113,15480,1745449.00,,INE861D01011,02-Aug-17,,
511766,MUTHOOT CAP ,B ,Q,517.40,517.40,507.55,510.90,516.90,512.05,47,578,295336.00,,INE296G01013,02-Aug-17,,
511768,MASTER TRUST,XT,Q,40.70,40.80,40.70,40.80,40.80,39.00,2,300,12230.00,,INE677D01011,02-Aug-17,,
512018,CNI RES LTD ,XD,Q,2.33,2.64,2.33,2.57,2.57,2.48,27,11012,27841.00,,INE135H01029,02-Aug-17,,
512020,SARASW.COMM.,XT,Q,8.90,8.90,8.90,8.90,8.90,8.73,1,1,8.00,,INE967G01019,02-Aug-17,,
512047,ROYAL IND   ,XT,Q,1.70,1.70,1.64,1.64,1.64,1.67,20,40550,67900.00,,INE510H01015,02-Aug-17,,
512048,LUHARUKA    ,XD,Q,0.64,0.64,0.64,0.64,0.64,0.64,18,419611,268551.00,,INE195E01020,02-Aug-17,,
512068,DECCANGOLD  ,XC,Q,46.35,51.50,45.70,50.45,50.45,47.00,1438,328147,16082957.00,,INE945F01025,02-Aug-17,,
512070,UPL         ,A ,Q,899.70,900.00,885.20,888.60,888.00,893.65,1408,45396,40473206.00,,INE628A01036,02-Aug-17,,
512093,CRANES SOFTW,T ,Q,1.07,1.12,1.07,1.12,1.12,1.07,27,61039,67813.00,,INE234B01023,02-Aug-17,,
512105,PROAIMENT   ,XD,Q,0.92,0.92,0.92,0.92,0.92,0.92,1,500,460.00,,INE490J01032,02-Aug-17,,
512131,SIGNET IND  ,B ,Q,11.37,11.70,11.10,11.17,11.17,11.29,306,90735,1021257.00,,INE529F01027,02-Aug-17,,
512135,ENSA STEEL  ,XD,Q,4.04,4.04,4.04,4.04,4.04,3.85,6,15,60.00,,INE322C01016,02-Aug-17,,
512149,ADVANCE TECH,XD,Q,1.55,1.58,1.55,1.55,1.55,1.55,61,83911,130644.00,,INE758A01056,02-Aug-17,,
512161,8KMILES     ,B ,Q,544.95,545.60,540.55,542.65,543.00,542.25,135,4173,2265218.00,,INE650K01021,02-Aug-17,,
512175,VAMA INDS   ,XT,Q,29.40,30.45,28.10,29.85,30.45,29.45,57,56052,1662060.00,,INE685D01022,02-Aug-17,,
512179,SUNTECK REAL,B ,Q,225.00,256.40,225.00,249.50,249.50,222.20,4394,236372,57418675.00,,INE805D01034,02-Aug-17,,
512217,PRISM MEDI  ,XD,Q,40.00,40.15,40.00,40.15,40.15,38.25,8,4510,180956.00,,INE730E01016,02-Aug-17,,
512229,VERITAS     ,XT,Q,209.10,209.10,204.00,209.10,209.10,208.00,13,882,183121.00,,INE379J01029,02-Aug-17,,
512237,JAI CORP LTD,B ,Q,85.15,85.50,83.25,83.65,83.65,84.75,943,156048,13163135.00,,INE070D01027,02-Aug-17,,
512247,ASHIRWAD CAP,XD,Q,2.84,2.90,2.70,2.79,2.79,2.82,64,38325,108627.00,,INE894A01026,02-Aug-17,,
512257,SVARTCORP   ,XD,Q,4.45,4.55,4.00,4.22,4.24,4.30,234,193420,799688.00,,INE895A01023,02-Aug-17,,
512267,MEDIA MATRIX,SS,Q,6.30,6.99,6.30,6.59,6.59,6.77,22,14327,95042.00,,INE200D01020,02-Aug-17,,
512289,SHIRPUR GOLD,B ,Q,155.50,159.15,153.00,154.65,154.60,155.95,77,3486,545504.00,,INE196B01016,02-Aug-17,,
512296,BHAGYA INL  ,B ,Q,24.20,24.65,23.75,24.20,24.30,24.45,34,6840,165159.00,,INE458B01036,02-Aug-17,,
512297,SHANTAI     ,XT,Q,192.00,192.00,187.50,189.35,190.00,190.75,21,225,42702.00,,INE408F01016,02-Aug-17,,
512299,STERL.BIOTEC,B ,Q,4.46,4.58,4.26,4.40,4.40,4.61,53,24884,109608.00,,INE324C01038,02-Aug-17,,
512301,CHAMBAL BREW,XT,Q,9.20,9.40,8.54,9.30,9.33,8.96,15,11313,104207.00,,INE417N01011,02-Aug-17,,
512332,BIRLA CAP   ,Z ,Q,0.19,0.19,0.19,0.19,0.19,0.19,9,20018,3803.00,,INE776E01027,02-Aug-17,,
512369,ENNORE COKE ,XT,Q,3.65,3.65,3.65,3.65,3.65,3.80,5,500,1825.00,,INE755H01016,02-Aug-17,,
512393,SHARDUL SECU,XT,Q,45.60,49.85,45.60,49.80,49.80,48.00,12,864,42111.00,,INE037B01012,02-Aug-17,,
